name,position,team,salary,projection
WR_HOU_12,WR,HOU,8000,19.8
WR_IND_13,WR,IND,7000,21.8
WR_JAX_14,WR,JAX,7300,21.5
WR_KC_15,WR,KC,7100,20.5
WR_ARI_16,WR,ARI,7700,19.4
WR_ATL_17,WR,ATL,7400,18.6
WR_BAL_18,WR,BAL,7300,19.8
WR_BUF_19,WR,BUF,7500,18.1
WR_CAR_20,WR,CAR,7000,19.6
WR_CHI_21,WR,CHI,6600,22.0
WR_CIN_22,WR,CIN,6800,18.8
WR_CLE_23,WR,CLE,6900,17.2
WR_DAL_24,WR,DAL,6800,17.1
WR_DEN_25,WR,DEN,6200,14.0
WR_DET_26,WR,DET,6200,17.1
WR_GB_27,WR,GB,6000,14.2
WR_HOU_28,WR,HOU,6400,17.5
WR_IND_29,WR,IND,5900,17.6
WR_JAX_30,WR,JAX,5800,14.9
WR_KC_31,WR,KC,6300,15.8
WR_ARI_32,WR,ARI,6200,12.9
WR_ATL_33,WR,ATL,5700,15.6
WR_BAL_34,WR,BAL,6000,10.5
WR_BUF_35,WR,BUF,5400,13.2
WR_CAR_36,WR,CAR,5600,13.7
WR_CHI_37,WR,CHI,5100,15.2
WR_CIN_38,WR,CIN,5600,14.3
WR_CLE_39,WR,CLE,5100,14.5
WR_DAL_40,WR,DAL,5300,10.7
WR_DEN_41,WR,DEN,5000,11.8
WR_DET_42,WR,DET,4800,13.6
WR_GB_43,WR,GB,4700,7.3
WR_HOU_44,WR,HOU,4900,7.7
WR_IND_45,WR,IND,4400,10.9
WR_JAX_46,WR,JAX,4700,10.0
WR_KC_47,WR,KC,4700,9.9
WR_ARI_48,WR,ARI,4500,9.4
WR_ATL_49,WR,ATL,4600,11.5
WR_BAL_50,WR,BAL,4300,7.8
WR_BUF_51,WR,BUF,3700,5.5
WR_CAR_52,WR,CAR,4100,5.1
WR_CHI_53,WR,CHI,3800,6.0
WR_CIN_54,WR,CIN,3700,7.3
WR_CLE_55,WR,CLE,3600,6.4
WR_DAL_56,WR,DAL,3500,9.9
WR_DEN_57,WR,DEN,3600,7.6
WR_DET_58,WR,DET,3000,6.1
WR_GB_59,WR,GB,3500,5.2
WR_HOU_60,WR,HOU,2900,3.2
WR_IND_61,WR,IND,3200,7.1
WR_JAX_62,WR,JAX,3100,5.2
WR_KC_63,WR,KC,2500,5.2
WR_ARI_64,WR,ARI,2500,2.1
WR_ATL_65,WR,ATL,2500,5.8
TE_ARI_00,TE,ARI,8800,22.6
TE_ATL_01,TE,ATL,8700,20.7
TE_BAL_02,TE,BAL,8500,20.4
TE_BUF_03,TE,BUF,8300,17.7
TE_CAR_04,TE,CAR,7400,19.6
TE_CHI_05,TE,CHI,7600,21.0
TE_CIN_06,TE,CIN,7200,15.4
TE_CLE_07,TE,CLE,7000,18.6
TE_DAL_08,TE,DAL,7000,18.6
TE_DEN_09,TE,DEN,6600,17.6
TE_DET_10,TE,DET,6500,17.8
TE_GB_11,TE,GB,5500,15.6
TE_HOU_12,TE,HOU,6100,15.4
TE_IND_13,TE,IND,5400,12.7
TE_JAX_14,TE,JAX,4800,15.4
TE_KC_15,TE,KC,5500,12.3
TE_ARI_16,TE,ARI,4800,9.2
TE_ATL_17,TE,ATL,4400,12.9
TE_BAL_18,TE,BAL,4400,9.9
TE_BUF_19,TE,BUF,3800,6.7
TE_CAR_20,TE,CAR,3800,7.8
TE_CHI_21,TE,CHI,3300,6.4
TE_CIN_22,TE,CIN,3000,4.0
TE_CLE_23,TE,CLE,2800,6.3
DST_ARI_00,DST,ARI,8800,22.6
DST_ATL_01,DST,ATL,8900,27.0
DST_BAL_02,DST,BAL,7500,22.5
DST_BUF_03,DST,BUF,7900,21.2
DST_CAR_04,DST,CAR,7500,21.7
DST_CHI_05,DST,CHI,7100,17.6
DST_CIN_06,DST,CIN,6800,13.4
DST_CLE_07,DST,CLE,6000,15.8
DST_DAL_08,DST,DAL,6200,16.1
DST_DEN_09,DST,DEN,5200,10.5
DST_DET_10,DST,DET,5000,12.0
DST_GB_11,DST,GB,4300,9.6
DST_HOU_12,DST,HOU,4400,12.4
DST_IND_13,DST,IND,3400,5.8
DST_JAX_14,DST,JAX,3600,9.2
DST_KC_15,DST,KC,3100,8.2
